name;size;price;ingredients
nsitwell0;L;$9.55;Table Cloth 91x91 Colour
rkurten1;L;$8.46;Sauce - Hp
jedland2;3XL;$1.33;Appetizer - Mushroom Tart
jvonnassau3;2XL;$0.30;Assorted Desserts
rsymes4;S;$7.19;Spic And Span All Purpose
vvanderkruys5;XL;$3.20;Zucchini - Yellow
dhehir6;M;$3.42;Wine - Gewurztraminer Pierre
agrewcock7;3XL;$3.77;Wine - Duboeuf Beaujolais
rmunks8;3XL;$3.92;Beef - Salted
mpattenden9;3XL;$5.09;Ice Cream Bar - Oreo Cone
bbrothwella;M;$2.78;Vegetable - Base
nhumphreyb;S;$6.52;Squash - Pattypan, Yellow
pmccrannc;XS;$0.83;Fudge - Cream Fudge
rwoolrichd;L;$6.55;Cake - Lemon Chiffon
emarthene;L;$1.86;V8 Splash Strawberry Kiwi
raucuttf;2XL;$0.29;Pastry - Chocolate Chip Muffin
rdettmarg;3XL;$3.04;Apples - Sliced / Wedge
elawsonh;S;$6.86;Beets - Candy Cane, Organic
dmariei;2XL;$1.58;Wine - Crozes Hermitage E.
nmardej;2XL;$4.05;Pork - Ground
rchesek;3XL;$9.20;Quail - Whole, Boneless
lpavelinl;XL;$4.06;Soup - Tomato Mush. Florentine
mclutheramm;3XL;$7.41;Beer - Sleemans Honey Brown
glefrancn;S;$0.22;Beans - Turtle, Black, Dry
nariso;XS;$6.74;Tart - Butter Plain Squares
mchuneyp;XS;$5.04;Milk - Skim
mfiermanq;XL;$2.73;Bread - Hamburger Buns
kerangeyr;L;$0.33;Muffin - Carrot Individual Wrap
whaswalls;M;$1.45;Cauliflower
rfilasovt;2XL;$7.40;V8 Splash Strawberry Kiwi
ipeaku;L;$7.77;Appetizer - Lobster Phyllo Roll
erozzierv;XS;$9.48;Sobe - Liz Blizz
hgedneyw;S;$2.94;Cheese - Shred Cheddar / Mozza
ajackx;S;$4.26;Towel - Roll White
kduboisy;M;$7.31;Soy Protein
swillimottz;XL;$2.60;Brandy Apricot
gwincom10;3XL;$2.84;Flour - Masa De Harina Mexican
ppechard11;S;$3.56;Sugar - Invert
rbaskeyfield12;S;$9.88;Pork - Bacon Cooked Slcd
mjenkin13;L;$9.22;Lamb - Bones
tgatley14;XS;$1.85;Calypso - Black Cherry Lemonade
mantonias15;2XL;$6.09;Bread Base - Gold Formel
fgritsunov16;M;$0.80;Wine - Niagara,vqa Reisling
mhancorn17;L;$0.95;Pastry - Mini French Pastries
awhawell18;M;$9.57;Fiddlehead - Frozen
gcheevers19;XS;$6.69;Spice - Montreal Steak Spice
rsammonds1a;3XL;$3.82;Veal - Round, Eye Of
hcuncarr1b;M;$3.83;Trout - Smoked
fshanley1c;2XL;$6.73;Wine - Tribal Sauvignon
oblaes1d;M;$2.10;The Pop Shoppe - Root Beer
nlombardo1e;XL;$8.66;Beer - Pilsner Urquell
gsolley1f;3XL;$8.99;Cod - Black Whole Fillet
bvahl1g;L;$7.13;Wine - Wyndham Estate Bin 777
lthame1h;M;$3.27;Wine - German Riesling
aboich1i;XL;$2.76;Potatoes - Instant, Mashed
tjakubovics1j;XS;$4.49;Lamb - Racks, Frenched
estainer1k;2XL;$2.53;Mussels - Frozen
sblaiklock1l;XS;$4.04;Cheese - Cheddarsliced
aquinby1m;S;$7.53;Vinegar - Balsamic
pspering1n;XL;$6.04;Veal - Brisket, Provimi, Bone - In
kleist1o;S;$4.87;Aspic - Light
ijex1p;2XL;$1.80;Compound - Pear
cmcpartling1q;L;$0.52;Cookies Almond Hazelnut
bgelardi1r;XS;$8.73;Noodles - Cellophane, Thin
cpurser1s;L;$5.62;Ranchero - Primerba, Paste
ldarwin1t;L;$7.53;Spinach - Baby
lemptage1u;M;$7.99;Sardines
dreedie1v;XS;$1.66;Ecolab - Solid Fusion
mviollet1w;XL;$8.00;Wine - Manischewitz Concord
tbendixen1x;L;$7.39;Mushroom - Chanterelle Frozen
fblakiston1y;2XL;$6.55;Bread Foccacia Whole
ehailes1z;3XL;$0.18;Tofu - Firm
zvanderhoeven20;S;$3.69;Quail Eggs - Canned
tduester21;XL;$4.54;Soup - Beef, Base Mix
smacgillavery22;3XL;$5.49;Iced Tea - Lemon, 460 Ml
ttumielli23;S;$2.12;Lamb - Racks, Frenched
nprimarolo24;2XL;$5.91;Grenadine
wsweetland25;S;$3.16;Halibut - Steaks
cgracewood26;L;$2.13;Crab - Claws, Snow 16 - 24
kocallaghan27;XS;$3.24;Creme De Banane - Marie
mlowes28;XL;$7.21;Wine - White, Antinore Orvieto
svanoord29;M;$6.21;Banana Turning
flavens2a;M;$4.13;Muffin Hinge - 211n
hgemnett2b;S;$2.31;Tuna - Salad Premix
lorred2c;3XL;$9.30;Chicken - Whole Fryers
atruss2d;L;$9.77;Cookie Double Choco
ldimeo2e;M;$0.27;Puff Pastry - Slab
bspillett2f;2XL;$8.91;Dill Weed - Fresh
skinnett2g;S;$4.84;Rye Special Old
hyanukhin2h;2XL;$1.50;Beef - Ground Lean Fresh
dfield2i;S;$3.17;Jack Daniels
pbielfelt2j;2XL;$0.68;Soup - Boston Clam Chowder
ctolcharde2k;M;$7.67;Longan
jmcmurty2l;XS;$8.23;Bowl 12 Oz - Showcase 92012
skennaird2m;2XL;$3.30;Wine - Casillero Del Diablo
agisburn2n;S;$3.42;Cinnamon Rolls
cshone2o;XL;$9.08;Grenadine
bmcphillimey2p;L;$6.88;Veal - Leg
shanley2q;2XL;$5.87;Pork - Bacon, Sliced
cmcgonigal2r;M;$5.90;Lettuce - Mini Greens, Whole
kmctrustram2s;L;$8.56;Wine - Niagara Peninsula Vqa
ntrusty2t;XS;$6.87;Flower - Commercial Bronze
mdantonio2u;M;$0.78;Island Oasis - Ice Cream Mix
pcheine2v;L;$7.23;Syrup - Chocolate
ospratley2w;L;$0.40;Catfish - Fillets
sstucke2x;XL;$6.43;Mints - Striped Red
jdeadman2y;M;$0.37;Pasta - Fett Alfredo, Single Serve
cduckworth2z;M;$0.70;Trout - Smoked
dosirin30;L;$5.16;Glucose
dscatcher31;XS;$3.39;Cake - Box Window 10x10x2.5
nkik32;XS;$2.18;Beef - Tenderloin - Aa
dmaclaig33;L;$1.31;Muffin Hinge 117n
adael34;XL;$4.55;Butter - Salted, Micro
kreisenstein35;S;$2.42;Chicken Breast Halal
erault36;3XL;$6.14;Rum - Mount Gay Eclipes
csamweyes37;XL;$4.81;Thyme - Fresh
zpregel38;XL;$6.69;Carbonated Water - Cherry
sletham39;XS;$5.75;Kumquat
lburtwhistle3a;M;$1.35;Goat - Leg
gmcmains3b;S;$5.06;Nut - Peanut, Roasted
kmacnally3c;XS;$6.45;Goldschalger
gfrisch3d;M;$4.00;Table Cloth 62x120 White
abaggiani3e;3XL;$4.86;Ginger - Ground
mbennitt3f;XL;$9.24;Crab - Meat
carington3g;XS;$7.36;Icecream - Dstk Super Cone
lrawsthorne3h;3XL;$4.88;Table Cloth 72x144 White
camberson3i;3XL;$9.10;Ecolab Silver Fusion
jdood3j;XL;$1.22;Bread - Multigrain
klawful3k;2XL;$0.84;Water, Tap
thyndley3l;S;$0.23;Anchovy Paste - 56 G Tube
dsinclair3m;S;$6.00;Wine - Port Late Bottled Vintage
abecom3n;XS;$9.33;Icecream Cone - Areo Chocolate
atomczykiewicz3o;L;$1.31;Cilantro / Coriander - Fresh
gaugustus3p;2XL;$0.16;Aromat Spice / Seasoning
hbartzen3q;XS;$2.63;Lemonade - Strawberry, 591 Ml
wduligal3r;XS;$6.57;Paper Cocktail Umberlla 80 - 180
clancett3s;XS;$3.85;Lid Tray - 16in Dome
gumbers3t;2XL;$5.60;Pepper - Green
cscroggie3u;XL;$3.77;Salmon Steak - Cohoe 8 Oz
